;origin;destination;departure;drone
53;(9.807700672073926, 52.347749957331665);(9.734984746421777, 52.31179257859617);00:01:02.48;M600
54;(9.706620026519559, 52.38404961781966);(9.646565767116186, 52.31278730309296);00:01:03.64;Amzn
55;(9.801496881721953, 52.39005697031356);(9.662901642687753, 52.362604357468115);00:01:04.80;Amzn
56;(9.765412972391463, 52.342510199080245);(9.718623595369417, 52.29914961691454);00:01:05.96;Amzn
57;(9.838150176204856, 52.354776613991014);(9.731565533958493, 52.300784918251864);00:01:07.11;M600
58;(9.652429964713768, 52.368832417756);(9.760755930690628, 52.3718189535631);00:01:08.27;Amzn
59;(9.770349014173561, 52.32031565337067);(9.770136830685155, 52.375103370131185);00:01:09.43;W178
60;(9.697796272673818, 52.341598458973756);(9.681018606713245, 52.30909021191194);00:01:10.58;M600
61;(9.801445641990476, 52.42711802716338);(9.803457408822824, 52.313522041523164);00:01:11.74;W178
62;(9.6844126241292, 52.40936568684824);(9.746739642507164, 52.42753614472355);00:01:12.90;M600
63;(9.767911916752986, 52.39236901059753);(9.672755303556539, 52.34230880766101);00:01:14.06;M600
64;(9.777161510028298, 52.43567029062187);(9.70878223946996, 52.41728015448455);00:01:15.21;M600
65;(9.801480821241757, 52.34544451606677);(9.710601789035286, 52.38801009604809);00:01:16.37;Amzn
66;(9.838079252840698, 52.309964504191015);(9.77315080565918, 52.43418589996052);00:01:17.53;M600
67;(9.75035807562605, 52.3228381818128);(9.81497325884268, 52.36852609257529);00:01:18.69;M600
68;(9.809074927362294, 52.33737021868514);(9.74101311565457, 52.34031819041357);00:01:19.84;M600
69;(9.643459679878177, 52.433225060385034);(9.74081496499199, 52.34382622241918);00:01:21.00;Amzn
70;(9.756033759370405, 52.38655121602845);(9.831103505214623, 52.37995451415227);00:01:22.16;Amzn
71;(9.829268342940756, 52.37201393839359);(9.694322849551227, 52.350624494272296);00:01:23.31;W178
72;(9.704817932936153, 52.31689691493483);(9.694367151714982, 52.31554484344213);00:01:24.47;M600
73;(9.648702840325672, 52.38340989559054);(9.7767151116514, 52.32009137529548);00:01:25.63;Amzn
74;(9.7086604437057, 52.42584699136927);(9.820408079589443, 52.35508519138128);00:01:26.79;M600
75;(9.64621449793251, 52.41294007125556);(9.749728123430243, 52.422653656332585);00:01:27.94;Amzn
76;(9.807525418900795, 52.365151147285395);(9.755277413704984, 52.328864895195906);00:01:29.10;Amzn
77;(9.674817359306585, 52.29980073891052);(9.760604219221955, 52.31961986804616);00:01:30.26;W178
78;(9.825817666024108, 52.339727586605264);(9.692670357993036, 52.38804356028327);00:01:31.41;Amzn
79;(9.83419202537864, 52.409950498782294);(9.794558148726246, 52.3619825557788);00:01:32.57;W178
80;(9.784289710680858, 52.31291950946123);(9.70729579837575, 52.435897913473624);00:01:33.73;W178
81;(9.794712317353653, 52.39406796666508);(9.731854719978742, 52.37556424039854);00:01:34.89;M600
82;(9.685483975482999, 52.38694817643325);(9.757732822463266, 52.39477396245412);00:01:36.04;M600
83;(9.703786357655693, 52.36438680406154);(9.78968018036045, 52.338080187336494);00:01:37.20;W178
84;(9.67220556382009, 52.30648889413694);(9.782841204630786, 52.417336901378775);00:01:38.36;W178
85;(9.698071630920731, 52.38139502763847);(9.657159620399435, 52.40401791751421);00:01:39.52;Amzn
86;(9.8148422371848, 52.31398286635027);(9.705208331214926, 52.41016260665472);00:01:40.67;M600
87;(9.774667211807012, 52.36089399729022);(9.789380894338993, 52.36518030591698);00:01:41.83;Amzn
88;(9.793024872115655, 52.42379363832396);(9.697423428828005, 52.31019825535664);00:01:42.99;Amzn
89;(9.817570642446427, 52.38736167795337);(9.77998319240177, 52.3031521241721);00:01:44.14;Amzn
90;(9.68556125583426, 52.307799094754884);(9.687813204681197, 52.31910161092705);00:01:45.30;M600
91;(9.831429016931779, 52.43033607635174);(9.814799117138087, 52.30266731193792);00:01:46.46;W178
92;(9.683440247586383, 52.38247549265573);(9.801070579199465, 52.373276612711216);00:01:47.62;M600
93;(9.649488789221994, 52.35434934810145);(9.715680771455505, 52.39034298893461);00:01:48.77;M600
94;(9.678790789243811, 52.42606842862798);(9.686369976422764, 52.312994532531384);00:01:49.93;W178
95;(9.735137613980106, 52.32924392045338);(9.67814868832629, 52.39651092298422);00:01:51.09;M600
96;(9.764440338202677, 52.436692024291744);(9.817936817043586, 52.33103121231406);00:01:52.24;Amzn
97;(9.827596350880023, 52.38245629252376);(9.651480199807061, 52.35122039452906);00:01:53.40;W178
98;(9.680119087450375, 52.35004937796452);(9.744386855734025, 52.377367901185536);00:01:54.56;Amzn
99;(9.775179449591368, 52.42462430680199);(9.666616924292985, 52.42345960752095);00:01:55.72;M600
100;(9.803717252478204, 52.326564750740346);(9.727646136812474, 52.35080337878994);00:01:56.87;M600
101;(9.789953015271294, 52.34906940666088);(9.740370754003656, 52.413493296211264);00:01:58.03;Amzn
102;(9.67219490213079, 52.42392386225078);(9.77075850420468, 52.36082667393657);00:01:59.19;Amzn
103;(9.834129378079295, 52.357116344638754);(9.748565214188037, 52.39336017483264);00:02:00.35;M600
104;(9.747771854637701, 52.37633931111816);(9.689040906265102, 52.4104805722331);00:02:01.50;M600
105;(9.795315088522367, 52.33619423217334);(9.837249163900786, 52.32103519803744);00:02:02.66;Amzn
106;(9.84113592608285, 52.37215219940183);(9.698134853789844, 52.36945909023335);00:02:03.82;Amzn
107;(9.660488343489865, 52.36073659722478);(9.769816482982316, 52.394809348820864);00:02:04.97;Amzn
108;(9.682152702354825, 52.40439959483827);(9.73490567481925, 52.34499325622604);00:02:06.13;Amzn
109;(9.746595304988473, 52.29908901095093);(9.818814162290517, 52.34822646726879);00:02:07.29;M600
110;(9.773875891120946, 52.333697646758054);(9.693026091295682, 52.3121268545521);00:02:08.45;M600
111;(9.693375724747067, 52.374995555915575);(9.83459431783842, 52.36063465347632);00:02:09.60;M600
112;(9.789752791984183, 52.33341001181628);(9.693895852128817, 52.40076644831445);00:02:10.76;M600
113;(9.836195978466906, 52.339432146320426);(9.809614320919799, 52.38412331031548);00:02:11.92;W178
114;(9.693149640839623, 52.38563511019535);(9.676524909082687, 52.38980039501529);00:02:13.07;Amzn
115;(9.786267891595916, 52.401181947539946);(9.76626156413211, 52.369993482801995);00:02:14.23;Amzn
116;(9.780934113229174, 52.4156505980917);(9.77936531051915, 52.361960923009626);00:02:15.39;M600
117;(9.649421952287955, 52.3076029568452);(9.796037125188061, 52.39712455955566);00:02:16.55;Amzn
118;(9.667141588179165, 52.34832135300352);(9.650649266518961, 52.31531382119805);00:02:17.70;M600
119;(9.710291345625114, 52.38815503570911);(9.843051071335815, 52.34234277837517);00:02:18.86;Amzn
120;(9.76318516871995, 52.38735254750207);(9.771309269098966, 52.42293833183989);00:02:20.02;M600
121;(9.805525243922288, 52.325514759091156);(9.826458398409573, 52.351910123170896);00:02:21.17;Amzn
122;(9.799825222523197, 52.39708338174678);(9.819950654246853, 52.34291424474451);00:02:22.33;M600
123;(9.844022462847128, 52.352571743752726);(9.719337889136868, 52.389928302260856);00:02:23.49;Amzn
124;(9.724484404810003, 52.354230613408646);(9.679318195957231, 52.310499114686316);00:02:24.65;Amzn
125;(9.712034172063921, 52.40562145837371);(9.829527249451981, 52.3021765325683);00:02:25.80;Amzn
126;(9.824094003690018, 52.29918656635991);(9.798950418712964, 52.400128267736974);00:02:26.96;W178
127;(9.73405512890221, 52.365797020835565);(9.840421615189664, 52.30706927483195);00:02:28.12;W178
128;(9.790903925241754, 52.409285289365);(9.824230891452572, 52.37670969923327);00:02:29.28;M600
129;(9.735515033100404, 52.40036760693282);(9.71774963091632, 52.37874845799311);00:02:30.43;W178
130;(9.66359210097913, 52.32395405741262);(9.801043768003483, 52.390478860525285);00:02:31.59;M600
131;(9.736943172748711, 52.365015139692076);(9.776113655758113, 52.35913096464498);00:02:32.75;Amzn
132;(9.713750679455211, 52.394778784436966);(9.840529242522512, 52.347411162250495);00:02:33.90;Amzn
133;(9.74488550236667, 52.396930272379706);(9.732943065603505, 52.437741148764985);00:02:35.06;Amzn
134;(9.67627475443399, 52.39628054501358);(9.70216056882439, 52.36433823653541);00:02:36.22;Amzn
135;(9.744027050117358, 52.41207567681331);(9.690855377460409, 52.40690733728218);00:02:37.38;M600
136;(9.77232307324316, 52.33067611743121);(9.667892937396187, 52.29864479841276);00:02:38.53;M600
137;(9.701012849600316, 52.31598529464234);(9.689568665956406, 52.37714747958769);00:02:39.69;M600
138;(9.753276451405434, 52.3510225087141);(9.74799986213384, 52.30812781580264);00:02:40.85;Amzn
139;(9.815584831490844, 52.432125972211864);(9.698596853438808, 52.410574302934855);00:02:42.00;M600
140;(9.76810263208921, 52.33493780304363);(9.73939916635984, 52.371169303383496);00:02:43.16;Amzn
141;(9.73269692333552, 52.39406164285499);(9.787305593394713, 52.31972786696227);00:02:44.32;W178
142;(9.73900781837522, 52.31211780519457);(9.656382373782655, 52.310899098452005);00:02:45.48;M600
143;(9.799966855782827, 52.42968297614389);(9.840451156423782, 52.39512727317383);00:02:46.63;M600
144;(9.655607834004815, 52.38384070484676);(9.769773345197764, 52.43822168995549);00:02:47.79;M600
145;(9.698588787554385, 52.31869682325036);(9.674072563795088, 52.3762759718432);00:02:48.95;W178
146;(9.779409884042039, 52.35721633180181);(9.77807857705685, 52.36975674689446);00:02:50.11;M600
147;(9.777130490885742, 52.3218897345854);(9.79776831763779, 52.3198737717252);00:02:51.26;Amzn
148;(9.665340379379346, 52.340252247294565);(9.702552249031411, 52.34724930919412);00:02:52.42;M600
149;(9.82619406770243, 52.38811726257528);(9.774038369564343, 52.33639289332696);00:02:53.58;W178
150;(9.821499896624081, 52.40795150224554);(9.645147740668433, 52.39808701580791);00:02:54.73;M600
151;(9.649748606014725, 52.34261351110866);(9.681120362572601, 52.41599772751208);00:02:55.89;Amzn
152;(9.768848488182217, 52.31770449274585);(9.783039776426675, 52.33314867463987);00:02:57.05;M600
153;(9.753430684096847, 52.31147560431981);(9.840283665613057, 52.40961107329391);00:02:58.21;Amzn
154;(9.657244292767045, 52.41572889209134);(9.644652677246345, 52.424520986818926);00:02:59.36;M600
155;(9.75914898670605, 52.40675089833852);(9.791468579137833, 52.42007862615485);00:03:00.52;W178
156;(9.784425164169466, 52.3767358211212);(9.791542759744164, 52.426151953059644);00:03:01.68;M600
157;(9.724694431550724, 52.308339759662246);(9.65928263318093, 52.32417343548419);00:03:02.83;W178
158;(9.710191809744831, 52.423598995407325);(9.795970907767618, 52.422486003544314);00:03:03.99;M600
159;(9.787863940542461, 52.35078144153485);(9.792928285159974, 52.302024666324655);00:03:05.15;M600
160;(9.686203423373424, 52.35775700325984);(9.829718656522973, 52.36572354496313);00:03:06.31;W178
161;(9.818961144635063, 52.35752566314461);(9.820245199169966, 52.40052675057959);00:03:07.46;Amzn
162;(9.643280766404285, 52.39477495988717);(9.733736323513652, 52.4089012850174);00:03:08.62;M600
163;(9.691373988710541, 52.42182222143784);(9.781155934578406, 52.304933504600875);00:03:09.78;Amzn
164;(9.720138845154358, 52.40005552485065);(9.816161678724793, 52.42965056843462);00:03:10.94;Amzn
165;(9.809457529443003, 52.31463294978489);(9.766913376956587, 52.36104836680573);00:03:12.09;M600
166;(9.826298075185818, 52.41952283157886);(9.723596928247272, 52.39017950496948);00:03:13.25;Amzn
167;(9.732785593560033, 52.30015974425114);(9.764044791860663, 52.398996744735165);00:03:14.41;M600
168;(9.78827406872623, 52.32991803871272);(9.801693108301754, 52.30859252264719);00:03:15.56;M600
169;(9.820405877267461, 52.30356642223641);(9.795370506540008, 52.35711190023841);00:03:16.72;M600
170;(9.815292586841394, 52.34044449110286);(9.75649958849076, 52.38261444569609);00:03:17.88;W178
171;(9.78746048942894, 52.41836202915347);(9.793450752802457, 52.36244899576689);00:03:19.04;W178
172;(9.69746338487807, 52.3610342834233);(9.801738647980164, 52.324521043558214);00:03:20.19;M600
173;(9.712539715659736, 52.38260894604127);(9.722706660045718, 52.4295513963391);00:03:21.35;M600
174;(9.821096340207363, 52.383943979273816);(9.737838879149438, 52.41278431988934);00:03:22.51;W178
175;(9.75135276140318, 52.39339291413807);(9.79708713226013, 52.376542437461566);00:03:23.66;W178
176;(9.744746064025033, 52.30978730190811);(9.790743280740717, 52.30933982424357);00:03:24.82;M600
177;(9.661206750877772, 52.36008863642581);(9.830204197830172, 52.378834741444166);00:03:25.98;Amzn
178;(9.690270320310752, 52.39992161796193);(9.79987948118213, 52.40858865729098);00:03:27.14;M600
179;(9.690196658102568, 52.42455362337713);(9.81495884233618, 52.32351400414333);00:03:28.29;W178
180;(9.679430805373459, 52.43118399909113);(9.67904064109449, 52.363465221276776);00:03:29.45;M600
181;(9.746218108759702, 52.39483460647879);(9.758600551591982, 52.367871527865134);00:03:30.61;Amzn
182;(9.65769134743055, 52.31030642908757);(9.746533574047653, 52.36611272806212);00:03:31.76;M600
183;(9.738547725810815, 52.36269330748144);(9.750056599063932, 52.34774219581071);00:03:32.92;Amzn
184;(9.682920619653883, 52.4160122147559);(9.751612191673836, 52.306747143796166);00:03:34.08;Amzn
185;(9.732671079296908, 52.387137826157314);(9.81815615288442, 52.340390116923956);00:03:35.24;Amzn
186;(9.698483691979972, 52.30416467012236);(9.772781687609031, 52.37261227513177);00:03:36.39;M600
187;(9.76408128234688, 52.43735538114836);(9.833764004241937, 52.419496084332046);00:03:37.55;W178
188;(9.80953281395274, 52.39777984455248);(9.685708923937213, 52.367510084736715);00:03:38.71;Amzn
189;(9.83633038362285, 52.34264786640394);(9.794269044409187, 52.32711269238061);00:03:39.87;W178
190;(9.680056453872348, 52.38668379112335);(9.777616645439826, 52.32771207684495);00:03:41.02;M600
191;(9.645841699159138, 52.41739965643688);(9.766195033954391, 52.30576212362728);00:03:42.18;M600
192;(9.788369857515006, 52.373257724222874);(9.838669108816328, 52.36962525396487);00:03:43.34;W178
193;(9.747803665840173, 52.363731285842285);(9.68437657894646, 52.435146702610645);00:03:44.49;M600
194;(9.822994056863395, 52.336062954706016);(9.67986188477681, 52.348786750128426);00:03:45.65;M600
195;(9.73592257072853, 52.410631173183326);(9.82251593726719, 52.306855699308215);00:03:46.81;M600
196;(9.734927942352247, 52.340660925158794);(9.805448196738052, 52.357107419303055);00:03:47.97;M600
197;(9.649892808248566, 52.39919658828462);(9.686320197843536, 52.307131803159216);00:03:49.12;M600
198;(9.832516129393776, 52.35897263585681);(9.718825261398136, 52.41858776892792);00:03:50.28;M600
199;(9.779512967709314, 52.34220960462883);(9.720996718368715, 52.30045867574159);00:03:51.44;M600
200;(9.72106540034557, 52.31692473080273);(9.843545260610721, 52.402890764743944);00:03:52.59;M600
201;(9.825334903035207, 52.410065647374225);(9.747144151225905, 52.34998424060154);00:03:53.75;M600
202;(9.81315595247992, 52.32011217061797);(9.755884131576767, 52.310768193390466);00:03:54.91;M600
203;(9.737456821061404, 52.37191474225052);(9.725513653658211, 52.3299591258355);00:03:56.07;W178
204;(9.842820715108513, 52.38138962805991);(9.667563050684794, 52.41939344670549);00:03:57.22;W178
205;(9.722198037935264, 52.39878331110878);(9.817460766818755, 52.383208929367925);00:03:58.38;M600
206;(9.666676594063913, 52.401075345638525);(9.829123783056556, 52.41844509476279);00:03:59.54;Amzn
207;(9.739538747249819, 52.39383085865692);(9.815396999491991, 52.37717781361608);00:04:00.70;W178
208;(9.723266098238055, 52.381241651005865);(9.647531778564206, 52.397210821178376);00:04:01.85;Amzn
209;(9.80744380156384, 52.422621017689444);(9.807871242840594, 52.30878664032619);00:04:03.01;Amzn
210;(9.677258917508055, 52.40232729109473);(9.72742748767122, 52.30837526980011);00:04:04.17;M600
211;(9.792483951606794, 52.363709290461905);(9.775328442638392, 52.32160110117394);00:04:05.32;M600
212;(9.672104898160537, 52.32326379615486);(9.76246983198818, 52.29784447140867);00:04:06.48;Amzn
213;(9.839078274653268, 52.364696680349525);(9.726731462737705, 52.39697097469596);00:04:07.64;M600
214;(9.817602247691699, 52.33334056708339);(9.746070433981808, 52.32432392027228);00:04:08.80;Amzn
215;(9.740084504154591, 52.426749453647375);(9.710216432718184, 52.31030758070968);00:04:09.95;M600
216;(9.685347253978685, 52.38820149755874);(9.698743577955666, 52.39821573657114);00:04:11.11;M600
217;(9.671465827689477, 52.36160761010552);(9.782631199973205, 52.34430538091238);00:04:12.27;M600
218;(9.761366513476323, 52.35687863607054);(9.82664320016564, 52.39389220884664);00:04:13.42;M600
219;(9.680076045957007, 52.43597068453907);(9.743762388184855, 52.41616843843075);00:04:14.58;Amzn
220;(9.670780273915948, 52.42086042462705);(9.806484733626917, 52.418292179049885);00:04:15.74;M600
221;(9.68668318299269, 52.43795353563698);(9.705838040127816, 52.42842507708472);00:04:16.90;W178
222;(9.651759384259822, 52.35178164945541);(9.767093228624173, 52.37979717873339);00:04:18.05;Amzn
223;(9.728621681238481, 52.329725587034574);(9.837773086284162, 52.32809729646818);00:04:19.21;M600
224;(9.761168643502836, 52.30796681599557);(9.676074696889614, 52.41041484406021);00:04:20.37;Amzn
225;(9.758778626248478, 52.345285781238495);(9.660153945371999, 52.307711592295696);00:04:21.53;Amzn
226;(9.818841964688522, 52.344180762012414);(9.646497756799437, 52.31395673562592);00:04:22.68;Amzn
227;(9.761631164303836, 52.40299758775615);(9.709156950986248, 52.42663807312939);00:04:23.84;W178
228;(9.668961597538413, 52.32742413976393);(9.843929385227742, 52.3498934986789);00:04:25.00;M600
229;(9.725245847337355, 52.33966656095024);(9.823554038894642, 52.35432829216007);00:04:26.15;W178
230;(9.816832930121175, 52.40565849769059);(9.73818278699431, 52.344384240238206);00:04:27.31;Amzn
231;(9.676710712579597, 52.40552628820657);(9.721511408951105, 52.40125497435549);00:04:28.47;M600
232;(9.8296992439379, 52.392042437847515);(9.672686537891062, 52.401963896911525);00:04:29.63;Amzn
233;(9.793994599732557, 52.39782331540325);(9.768422130254615, 52.392916341412544);00:04:30.78;M600
234;(9.667926851396414, 52.382576779856294);(9.729779179595722, 52.386970292156676);00:04:31.94;M600
235;(9.710164845399198, 52.303948192936275);(9.79135692619391, 52.30926282929341);00:04:33.10;M600
236;(9.788505764646233, 52.3733317569764);(9.695937305110524, 52.43257712790123);00:04:34.25;M600
237;(9.713370111395465, 52.419058199356556);(9.743113823064322, 52.36420939106673);00:04:35.41;M600
238;(9.73519434161802, 52.34207946960235);(9.689999448879098, 52.301136235082275);00:04:36.57;Amzn
239;(9.776583443196415, 52.35723180432535);(9.72884749465334, 52.41643146915605);00:04:37.73;Amzn
240;(9.718339685771952, 52.40645781486481);(9.729559323438746, 52.434744663764114);00:04:38.88;Amzn
241;(9.839715771387679, 52.36321023022337);(9.686090617833822, 52.30136398798079);00:04:40.04;Amzn
242;(9.65744678427614, 52.42459947352178);(9.785201598506807, 52.37027628777263);00:04:41.20;Amzn
243;(9.710755630732146, 52.33320609858548);(9.691813715278505, 52.36073601294905);00:04:42.35;M600
244;(9.742966151278367, 52.40186523139896);(9.703259688663204, 52.34001945129199);00:04:43.51;Amzn
245;(9.77616242016849, 52.3187543896477);(9.840779880219603, 52.37621685080316);00:04:44.67;M600
246;(9.77059525285951, 52.335691027430954);(9.750968817721795, 52.39191083890658);00:04:45.83;M600
247;(9.757916579602387, 52.32342030589569);(9.701919478665808, 52.41699073996854);00:04:46.98;M600
248;(9.770435326618186, 52.33889864827489);(9.799500675071963, 52.30446172524892);00:04:48.14;M600
249;(9.691565101349788, 52.314297032525566);(9.780086543816676, 52.367607510187256);00:04:49.30;Amzn
250;(9.676493187408532, 52.37522798337685);(9.789837745424386, 52.3762038828106);00:04:50.46;Amzn
251;(9.77668580191451, 52.32203169092488);(9.758952897673064, 52.38556135949249);00:04:51.61;M600
252;(9.723071268515241, 52.332358651971965);(9.80246052973364, 52.39903155734059);00:04:52.77;Amzn
253;(9.739794351183477, 52.321173443888114);(9.65295489164421, 52.426417310644034);00:04:53.93;W178
254;(9.720873006096182, 52.33836672662255);(9.756575980942813, 52.305599320713235);00:04:55.08;M600
255;(9.690715023256375, 52.39407026355608);(9.81402530977981, 52.31420797239977);00:04:56.24;M600
256;(9.825534983587204, 52.42337563513016);(9.74697806482835, 52.40706159525702);00:04:57.40;W178
257;(9.705123169885105, 52.40591281251775);(9.667996743950011, 52.31822676020273);00:04:58.56;Amzn
258;(9.715224018330328, 52.38314171423708);(9.822649442358045, 52.41724906880031);00:04:59.71;M600
259;(9.720870762220832, 52.335925956563635);(9.690158396774143, 52.37810911011744);00:05:00.87;W178
260;(9.708353464464123, 52.389304127939965);(9.839119896300188, 52.436959332642544);00:05:02.03;Amzn
261;(9.716025411622121, 52.30115493706568);(9.70106476192122, 52.37509188933049);00:05:03.18;Amzn
262;(9.720313981170571, 52.42678928593474);(9.701725001172964, 52.340874292223255);00:05:04.34;M600
263;(9.766551659156832, 52.402988779542945);(9.66563802033003, 52.43278136000582);00:05:05.50;W178
264;(9.778720523697796, 52.38091498345436);(9.709691281455854, 52.418722558995604);00:05:06.66;M600
265;(9.745217643030378, 52.360722784627725);(9.842026414545352, 52.35027623212711);00:05:07.81;M600
266;(9.75728655076642, 52.39595165626339);(9.681119023218912, 52.312798936625335);00:05:08.97;W178
267;(9.771774224119131, 52.392324014002114);(9.779255667258235, 52.35322268118241);00:05:10.13;M600
268;(9.678514388123325, 52.30082209713616);(9.739939074444159, 52.310977273249705);00:05:11.29;Amzn
269;(9.675409650427577, 52.391940683638225);(9.82858581833132, 52.41470121982832);00:05:12.44;Amzn
270;(9.738564269190709, 52.424218517617035);(9.719394247250804, 52.33186771838171);00:05:13.60;Amzn
271;(9.679080577634284, 52.35056436485202);(9.766323991065086, 52.38191314288084);00:05:14.76;M600
272;(9.695667020989145, 52.36477315532939);(9.723143745513722, 52.421601196506494);00:05:15.91;Amzn
273;(9.662511444121593, 52.33720456420588);(9.777068910954469, 52.36016017808884);00:05:17.07;M600
274;(9.65958232858108, 52.306327893346975);(9.699554479376786, 52.4293802175725);00:05:18.23;W178
275;(9.832530318958128, 52.31982600332084);(9.716914134147382, 52.39360930831817);00:05:19.39;Amzn
276;(9.660382741154963, 52.431385711386206);(9.757365563700839, 52.37660965246714);00:05:20.54;W178
277;(9.650416566025301, 52.32856934689802);(9.685874650813638, 52.30482879913233);00:05:21.70;Amzn
278;(9.783612202919459, 52.43515197236049);(9.784446256930662, 52.41268684255622);00:05:22.86;Amzn
279;(9.78683697490791, 52.33441883636593);(9.805064284258657, 52.39987487674468);00:05:24.01;M600
280;(9.695315220851823, 52.40252040619374);(9.652197468203234, 52.39728533666711);00:05:25.17;Amzn
