;origin;destination;departure;drone
32;(9.825248352829126, 52.389519812523496);(9.647168991263454, 52.384662619231285);00:06:21.88;M600
33;(9.716313317503541, 52.31065015001874);(9.748349692315264, 52.39365683491359);00:06:33.45;Amzn
34;(9.782712396893805, 52.410933674823);(9.7082337367948, 52.393058044436806);00:06:45.02;M600
35;(9.68090071019759, 52.379836840416694);(9.750131512350897, 52.34215905289762);00:06:56.59;Amzn
36;(9.83355768551251, 52.37172343470625);(9.706149980054493, 52.41080127017868);00:07:08.16;M600
37;(9.837903582806009, 52.34836650925683);(9.749602824228596, 52.42411851376784);00:07:19.74;Amzn
38;(9.75905481334251, 52.371121966166655);(9.643950921611465, 52.418599577948);00:07:31.31;Amzn
39;(9.6794283421007, 52.34809982070072);(9.770467824874652, 52.30528086233982);00:07:42.88;M600
40;(9.763648984281176, 52.42391562198706);(9.649511166850218, 52.36669818560876);00:07:54.45;W178
41;(9.660078324584894, 52.31546674694829);(9.665205007148257, 52.39419667212106);00:08:06.02;Amzn
42;(9.80021004849265, 52.381338321324016);(9.783586397130257, 52.346327361567404);00:08:17.60;M600
43;(9.734790247895905, 52.30289069375742);(9.66794760342416, 52.41727674162109);00:08:29.17;Amzn
44;(9.800329643138785, 52.39687626162202);(9.659621299029512, 52.37556831473512);00:08:40.74;W178
45;(9.816059282669986, 52.33377285943022);(9.67053697671891, 52.353906466698724);00:08:52.31;M600
46;(9.742123018934027, 52.43094301979209);(9.695887499324389, 52.424846554617936);00:09:03.89;W178
47;(9.751304103824578, 52.31579904266903);(9.733385395183648, 52.31295561046038);00:09:15.46;M600
48;(9.66262257753659, 52.42979931263825);(9.712281330011828, 52.35973184158528);00:09:27.03;M600
49;(9.694059658900553, 52.38082629448218);(9.645474360457973, 52.42494406732398);00:09:38.60;M600
50;(9.827439459315602, 52.42260937380151);(9.71455347071591, 52.29941114605232);00:09:50.17;M600
51;(9.72840436138701, 52.39822517323941);(9.66452324664574, 52.40279510344807);00:10:01.75;M600
52;(9.65279906167726, 52.337150474566926);(9.678017914397312, 52.33885331477508);00:10:13.32;Amzn
53;(9.674358672839796, 52.42779513461736);(9.787401226244345, 52.37108550529177);00:10:24.89;M600
54;(9.804657678391637, 52.34525916607512);(9.725593009621392, 52.36470905054101);00:10:36.46;Amzn
55;(9.770676778361693, 52.34885060792741);(9.840239598754083, 52.367508579302665);00:10:48.03;W178
56;(9.677823708775277, 52.39905753684341);(9.796521402118977, 52.38369094486461);00:10:59.61;Amzn
57;(9.691965058892066, 52.306093782314626);(9.738461136502346, 52.3916400955809);00:11:11.18;M600
58;(9.67615349149353, 52.39528582760183);(9.727984640505266, 52.43509696177885);00:11:22.75;W178
59;(9.83658254462628, 52.32372437898064);(9.755064003343985, 52.36335157269466);00:11:34.32;M600
60;(9.779281236725547, 52.38751548607405);(9.7491398432814, 52.40689467062273);00:11:45.89;M600
61;(9.754299649003913, 52.36361117186867);(9.690232971256968, 52.41808341586819);00:11:57.47;M600
62;(9.772120692857978, 52.33992785169924);(9.824419120369752, 52.348345045488564);00:12:09.04;M600
63;(9.77863619552977, 52.43801528998012);(9.654994304928579, 52.327924360096105);00:12:20.61;M600
64;(9.69401359901815, 52.42322252362603);(9.823839663739033, 52.31320840700187);00:12:32.18;M600
65;(9.82002070369711, 52.30432832512546);(9.724751053659883, 52.30583675776292);00:12:43.76;M600
66;(9.759818474616374, 52.430918780999306);(9.712443186529471, 52.312148081231406);00:12:55.33;Amzn
67;(9.720263739063892, 52.30554081917905);(9.712602361672186, 52.403988037801085);00:13:06.90;M600
68;(9.824554106562337, 52.395941054200044);(9.667475335091359, 52.341605664963325);00:13:18.47;W178
69;(9.796132194143008, 52.36634628141319);(9.680345183454579, 52.36983825459076);00:13:30.04;Amzn
70;(9.774916846050624, 52.37885198047043);(9.7096196073976, 52.37518822642311);00:13:41.62;M600
71;(9.724417354840625, 52.38053238391147);(9.759802229905072, 52.369805008219885);00:13:53.19;M600
72;(9.775734649487976, 52.3302969565722);(9.73886981015911, 52.339019594812164);00:14:04.76;M600
73;(9.763444244410243, 52.311142298041176);(9.674532101173515, 52.41658812265949);00:14:16.33;M600
74;(9.696425749352626, 52.37444701088679);(9.741617605742398, 52.36319190284362);00:14:27.90;Amzn
75;(9.726883132230244, 52.33013292622475);(9.78415404981896, 52.34719740025766);00:14:39.48;M600
76;(9.766116699896514, 52.39390516240386);(9.651013571622261, 52.40242423334986);00:14:51.05;Amzn
77;(9.741585250292673, 52.3982762342989);(9.710650002137392, 52.34839477364926);00:15:02.62;M600
78;(9.76451784035222, 52.31962073940995);(9.73793916035213, 52.430234371157134);00:15:14.19;M600
79;(9.667700778603834, 52.31545465253528);(9.82521918432038, 52.393965434317515);00:15:25.77;W178
80;(9.760330655535556, 52.304802325352014);(9.706762809636691, 52.42106512544758);00:15:37.34;W178
81;(9.645635018873312, 52.43189322648247);(9.769620494207357, 52.33311577207212);00:15:48.91;M600
82;(9.83820597591811, 52.40183523872144);(9.753861622896324, 52.39872791550705);00:16:00.48;W178
83;(9.700371161720328, 52.33564715932578);(9.843656494710942, 52.42010081192618);00:16:12.05;M600
84;(9.69750013593424, 52.328355241070916);(9.837590085114542, 52.43124434817475);00:16:23.63;Amzn
85;(9.682572100275435, 52.33463702606484);(9.680040211580355, 52.39813356620665);00:16:35.20;Amzn
86;(9.82824043681544, 52.32636588387796);(9.788581276611822, 52.43053617349495);00:16:46.77;Amzn
87;(9.667275922511992, 52.345658242369566);(9.788628841649706, 52.39697517723369);00:16:58.34;M600
88;(9.645038596290414, 52.390559303684036);(9.669192648818246, 52.35520729702532);00:17:09.91;Amzn
89;(9.684608447362871, 52.36975944313824);(9.721252337338347, 52.43318913501633);00:17:21.49;M600
90;(9.73562607797134, 52.43259696361736);(9.755842106268396, 52.359488877847575);00:17:33.06;M600
91;(9.715599675747992, 52.31981931145536);(9.778447707705016, 52.41576337588562);00:17:44.63;Amzn
92;(9.844112194593697, 52.36233655031684);(9.684120725740438, 52.36732016368191);00:17:56.20;W178
93;(9.742676983575523, 52.30115009944372);(9.826024733640587, 52.30150039179346);00:18:07.78;M600
94;(9.708548209090111, 52.331060801108386);(9.841821840018738, 52.40092330271634);00:18:19.35;M600
95;(9.798124314246508, 52.366098243582336);(9.692523846605, 52.335797025628345);00:18:30.92;M600
96;(9.722058189881691, 52.345896830066884);(9.681705028330606, 52.351990544395996);00:18:42.49;W178
97;(9.779937873325384, 52.36863721630824);(9.749083535354899, 52.35300270089946);00:18:54.06;W178
98;(9.812065231671374, 52.338245749937);(9.7898397735895, 52.37850167606826);00:19:05.64;Amzn
99;(9.803851819913051, 52.34020400118301);(9.73267460234289, 52.306504187978284);00:19:17.21;M600
100;(9.746398287026349, 52.36230265550019);(9.702780408421555, 52.37992150682904);00:19:28.78;Amzn
101;(9.748123484570497, 52.351378422104126);(9.734822706360042, 52.39263991807116);00:19:40.35;Amzn
102;(9.655537815723818, 52.401778544753306);(9.644946454067597, 52.36748296800067);00:19:51.92;W178
103;(9.649776545786716, 52.335076890849344);(9.732368078782528, 52.34416291101069);00:20:03.50;M600
104;(9.821269328009226, 52.30499120504258);(9.72904314238509, 52.418579996584725);00:20:15.07;Amzn
105;(9.802835687704354, 52.41225835721468);(9.727020728338971, 52.36927323752631);00:20:26.64;M600
106;(9.75815239803679, 52.41996284606544);(9.781894895685454, 52.32280072059776);00:20:38.21;M600
107;(9.772117651056016, 52.414598898866664);(9.729821162728802, 52.33464175872893);00:20:49.79;W178
108;(9.655140682792025, 52.30004708844925);(9.712060103319066, 52.354231922740574);00:21:01.36;Amzn
109;(9.83298727453683, 52.40796333850362);(9.668390931915283, 52.336038329014194);00:21:12.93;W178
110;(9.771570956899419, 52.32192892057056);(9.728452064918326, 52.35560804260129);00:21:24.50;W178
111;(9.656234656329788, 52.39952994614184);(9.764182499254781, 52.43416262253167);00:21:36.07;Amzn
112;(9.79410134008316, 52.35567758418365);(9.81079800394753, 52.30942752419842);00:21:47.65;Amzn
113;(9.752231459021957, 52.372884346237676);(9.646916172120552, 52.38781617158306);00:21:59.22;M600
114;(9.705155671073381, 52.35968887066859);(9.654128828426337, 52.43471046949009);00:22:10.79;Amzn
115;(9.837809360737264, 52.43445253671327);(9.759701893235043, 52.35028533088165);00:22:22.36;M600
116;(9.724381322797989, 52.38977699538995);(9.834214917380773, 52.299756595480154);00:22:33.93;W178
117;(9.736209276163775, 52.35736430206176);(9.78565000378356, 52.30016672795608);00:22:45.51;M600
118;(9.839676568334491, 52.30151913367578);(9.667154851098683, 52.34627873829573);00:22:57.08;Amzn
119;(9.74119180179287, 52.32199219988021);(9.654540786053655, 52.407248965808385);00:23:08.65;Amzn
120;(9.697292778076395, 52.3136317168088);(9.82960736205801, 52.33124552061339);00:23:20.22;M600
121;(9.655614671985612, 52.39912278128277);(9.64778098037388, 52.437911169984396);00:23:31.79;Amzn
122;(9.80046338577995, 52.417118497243656);(9.747961642151372, 52.356919913326465);00:23:43.37;M600
123;(9.79940218416573, 52.33815785428805);(9.734905513301802, 52.405363662973805);00:23:54.94;Amzn
124;(9.683891640760985, 52.42841531050963);(9.702383675795682, 52.345571183482164);00:24:06.51;Amzn
125;(9.68517710346857, 52.33049021159706);(9.651541852470995, 52.41469711107176);00:24:18.08;Amzn
126;(9.742130450510398, 52.32939652592856);(9.842507666519985, 52.30241828372085);00:24:29.66;Amzn
127;(9.696891740553045, 52.43294740119869);(9.809508277671322, 52.37227847279445);00:24:41.23;M600
128;(9.653839405583197, 52.304077898094974);(9.649288410208738, 52.41708776180402);00:24:52.80;W178
129;(9.795344058361737, 52.359573356873526);(9.647044656226024, 52.305633606869485);00:25:04.37;W178
130;(9.765081236095506, 52.313170588838055);(9.742097778036081, 52.40585293941171);00:25:15.94;Amzn
131;(9.752734729113747, 52.387544249947965);(9.721343389334118, 52.40750981182487);00:25:27.52;Amzn
132;(9.674633632512194, 52.399103301513584);(9.647277021757288, 52.386904781113856);00:25:39.09;Amzn
133;(9.838888223547597, 52.37178261659406);(9.751569299068784, 52.43812652032232);00:25:50.66;Amzn
134;(9.735966701332208, 52.437735832168);(9.809638736956057, 52.344183668306215);00:26:02.23;Amzn
135;(9.69212409775286, 52.32993886865328);(9.720539746429177, 52.326584479711805);00:26:13.80;M600
136;(9.816695095569358, 52.42815031121136);(9.72143828191856, 52.3392461101472);00:26:25.38;W178
137;(9.67567762482393, 52.359601901166904);(9.654083265290595, 52.32061294528276);00:26:36.95;Amzn
138;(9.648898070992454, 52.435556577094125);(9.69389069312385, 52.37261454700602);00:26:48.52;Amzn
139;(9.772797123232605, 52.41130644396614);(9.83824251873692, 52.43744848092119);00:27:00.09;M600
140;(9.668221118803496, 52.382552614984306);(9.809821231196574, 52.34090938711508);00:27:11.67;M600
141;(9.742156323352523, 52.374159847011626);(9.655943894281254, 52.37947236171067);00:27:23.24;W178
142;(9.836445136819208, 52.32332942742913);(9.77417928085535, 52.36137416536812);00:27:34.81;M600
143;(9.768616012786236, 52.399565232987015);(9.836438169658866, 52.36874068338546);00:27:46.38;M600
144;(9.710078118263244, 52.30771591833896);(9.769293672815747, 52.43247001794718);00:27:57.95;Amzn
145;(9.77809001467373, 52.34266433345019);(9.666147567466618, 52.39415946992212);00:28:09.53;M600
146;(9.786296081891747, 52.392130378403145);(9.827342760566872, 52.355314896805766);00:28:21.10;Amzn
147;(9.699350214194011, 52.42122931553621);(9.726758254276827, 52.40358404806398);00:28:32.67;M600
148;(9.682055861492433, 52.413058003886285);(9.688429127261731, 52.43029357282489);00:28:44.24;M600
149;(9.77612003675657, 52.30569071175025);(9.739641391611082, 52.30869332584045);00:28:55.81;M600
150;(9.704976202909998, 52.42305597469289);(9.80447957414206, 52.437796100692815);00:29:07.39;M600
151;(9.781038491878308, 52.41366314619975);(9.812911685759321, 52.426697856826955);00:29:18.96;W178
152;(9.716408478635834, 52.34445524449562);(9.756082839127393, 52.407276088467334);00:29:30.53;Amzn
153;(9.64556496994722, 52.35475035945432);(9.65083577946869, 52.417206097771704);00:29:42.10;Amzn
154;(9.753529195306731, 52.333217785681946);(9.773230006221247, 52.35026353538243);00:29:53.68;Amzn
155;(9.649229629291135, 52.362105565050285);(9.763780146061997, 52.4305492180539);00:30:05.25;M600
156;(9.680921137403326, 52.36082095603462);(9.778315028421682, 52.41288369312145);00:30:16.82;M600
157;(9.818557847015787, 52.338077879007734);(9.72767266109214, 52.315466530834094);00:30:28.39;M600
158;(9.652074613671562, 52.341048361139535);(9.72985502987324, 52.3329736687023);00:30:39.96;Amzn
159;(9.701077130753358, 52.31688173692497);(9.842001239146626, 52.38009324355201);00:30:51.54;Amzn
160;(9.821184017070964, 52.29855366584523);(9.696152723416287, 52.36404892337929);00:31:03.11;M600
161;(9.647191832969163, 52.324653712857305);(9.789195574404475, 52.31279668525668);00:31:14.68;W178
162;(9.811421613799814, 52.353461674672815);(9.819131467154016, 52.34764125297706);00:31:26.25;Amzn
163;(9.734528442518975, 52.42146063850226);(9.79825228802833, 52.30677477292478);00:31:37.82;M600
164;(9.658054114098887, 52.30139997603345);(9.720766927603654, 52.37808439060507);00:31:49.40;Amzn
165;(9.759069319319886, 52.407176320421);(9.694234913098063, 52.39645064327057);00:32:00.97;M600
166;(9.827415968268118, 52.39835215521672);(9.814680296237535, 52.348320555791545);00:32:12.54;Amzn
167;(9.661179356205983, 52.38612041516917);(9.65365239373732, 52.40958766147119);00:32:24.11;Amzn
168;(9.809756176628989, 52.350404562895946);(9.805207917969225, 52.388262940749385);00:32:35.69;M600
169;(9.692240921594573, 52.4358859726486);(9.713395259458647, 52.32996720037308);00:32:47.26;M600
170;(9.740639385140696, 52.42766588919654);(9.809718243321209, 52.374001666511255);00:32:58.83;Amzn
171;(9.822213508805106, 52.32721668652413);(9.768669329099579, 52.35569961496594);00:33:10.40;W178
172;(9.659209931383536, 52.31288376622874);(9.783984862047014, 52.37586355084229);00:33:21.97;M600
173;(9.772351529279337, 52.32926818875126);(9.74837114999229, 52.4235760562666);00:33:33.55;Amzn
174;(9.763005384235251, 52.41681498686173);(9.755512220936591, 52.392764066562464);00:33:45.12;Amzn
175;(9.811489381102444, 52.36317795076494);(9.765297462594388, 52.40345814278038);00:33:56.69;W178
176;(9.68218183592903, 52.349671192403626);(9.690772977607631, 52.34320547787808);00:34:08.26;Amzn
177;(9.668734534349896, 52.334058230096424);(9.717697116462803, 52.41988743456531);00:34:19.83;M600
178;(9.811499374683285, 52.4317896295997);(9.687460453045851, 52.363386710126974);00:34:31.41;W178
179;(9.735830391707745, 52.41025535572044);(9.696633226036914, 52.30765186763249);00:34:42.98;M600
180;(9.720307960086098, 52.31882741857003);(9.836915580613203, 52.430319358033984);00:34:54.55;W178
181;(9.761327049030113, 52.41455256538636);(9.731213747622581, 52.38757399053549);00:35:06.12;M600
182;(9.780529214078806, 52.410260750670055);(9.67993195108028, 52.39623595522701);00:35:17.69;W178
183;(9.711254623608694, 52.4302830567883);(9.797983301849271, 52.366912633441075);00:35:29.27;M600
184;(9.74734182724454, 52.35858592066723);(9.836176804452585, 52.40382174874149);00:35:40.84;Amzn
185;(9.800926408092028, 52.3515512137924);(9.738647353882367, 52.31478906793054);00:35:52.41;M600
186;(9.677490521396642, 52.32096272083982);(9.72849463532668, 52.41036325895265);00:36:03.98;M600
187;(9.821627870646275, 52.333508899286784);(9.685890554348259, 52.35329699891582);00:36:15.56;M600
188;(9.787467454990912, 52.382868474874456);(9.735636644158223, 52.42001340126915);00:36:27.13;M600
189;(9.778170745053862, 52.378572445489795);(9.820233060409127, 52.298650587706);00:36:38.70;Amzn
190;(9.83439999939864, 52.30300228518224);(9.765886742617207, 52.43038977666352);00:36:50.27;W178
191;(9.677214948853823, 52.417283053704786);(9.680478741655778, 52.33934372457106);00:37:01.84;M600
192;(9.72337197299152, 52.32973485017226);(9.678014712557122, 52.42236478231749);00:37:13.42;M600
193;(9.82482320357001, 52.32997158312128);(9.792802243437679, 52.30968275022594);00:37:24.99;M600
194;(9.666786870323062, 52.33399900565653);(9.747774897147572, 52.33628898059426);00:37:36.56;M600
195;(9.717874053188048, 52.43604511859971);(9.835999632151267, 52.39915959752513);00:37:48.13;M600
196;(9.818934937587091, 52.31310646763579);(9.819240656044917, 52.3359697934773);00:37:59.70;Amzn
197;(9.773355585921376, 52.410985360029386);(9.814206025224927, 52.39017826258554);00:38:11.28;Amzn
198;(9.688625091435641, 52.35818558854295);(9.716021348859172, 52.391337656105954);00:38:22.85;M600
199;(9.645652331454071, 52.381470107649946);(9.803558253734222, 52.368898111863224);00:38:34.42;W178
200;(9.813987055331383, 52.38731243905177);(9.693933187759027, 52.41162430013655);00:38:45.99;M600
201;(9.722629788681116, 52.3255714759829);(9.6492287987914, 52.37485990367642);00:38:57.57;W178
202;(9.774870143321698, 52.37393995982772);(9.780212986083525, 52.41047730914038);00:39:09.14;M600
203;(9.714297004284687, 52.36527841648608);(9.664886366175184, 52.37630390977231);00:39:20.71;M600
204;(9.697320808618588, 52.37567443142115);(9.671398773547168, 52.32881297187443);00:39:32.28;Amzn
205;(9.702941730326126, 52.43120827158479);(9.766201481548475, 52.38830498493615);00:39:43.85;M600
206;(9.843873418920612, 52.33822773664838);(9.69546884421567, 52.384501402913585);00:39:55.43;M600
207;(9.759630820358357, 52.299654214612936);(9.808294404342245, 52.33582140145751);00:40:07.00;W178
208;(9.800062190234637, 52.338324269960744);(9.835118486879674, 52.40386565084803);00:40:18.57;Amzn
209;(9.802952348180302, 52.413512249930214);(9.725541257418513, 52.328847591867614);00:40:30.14;M600
210;(9.767159031703482, 52.31613222188756);(9.837247559788693, 52.41443490856626);00:40:41.71;Amzn
211;(9.744561987438546, 52.33024217442598);(9.695599544558664, 52.34328233163273);00:40:53.29;M600
212;(9.758707546388138, 52.427968397601404);(9.698508144863391, 52.43066642359956);00:41:04.86;M600
213;(9.71085138653508, 52.34999189403662);(9.68080668514895, 52.305058043241786);00:41:16.43;W178
214;(9.712927569507707, 52.385070195712935);(9.745222511715273, 52.3664840216537);00:41:28.00;M600
215;(9.691659682479319, 52.432893616332024);(9.69344376812797, 52.37509577764941);00:41:39.58;Amzn
216;(9.70640353681704, 52.42283060497271);(9.841425520650832, 52.3180172398707);00:41:51.15;Amzn
217;(9.774283222833319, 52.38548219522318);(9.769488071440009, 52.37282158838344);00:42:02.72;M600
218;(9.662349965543518, 52.375111901038366);(9.719762678914627, 52.33120387124082);00:42:14.29;W178
219;(9.7022634313677, 52.378330682958406);(9.783295543799145, 52.38817649463622);00:42:25.86;M600
220;(9.739899560363765, 52.38873629118769);(9.792737682546532, 52.30982545169908);00:42:37.44;M600
221;(9.81332545054105, 52.32700171292413);(9.776104828882017, 52.4239172377295);00:42:49.01;M600
222;(9.721599987355292, 52.39443620393075);(9.724014012789882, 52.423340778941494);00:43:00.58;W178
223;(9.761425494968034, 52.32278830801717);(9.761490059755275, 52.42059583708559);00:43:12.15;W178
224;(9.683482068323137, 52.36698051914587);(9.72069601469272, 52.325858715106435);00:43:23.72;M600
225;(9.693638607019887, 52.4151260845928);(9.666272449090258, 52.36695550327592);00:43:35.30;Amzn
226;(9.680732930676776, 52.32489441703456);(9.736979719306477, 52.35111348846783);00:43:46.87;W178
227;(9.8423511116445, 52.32588672113099);(9.740607975231018, 52.29821969811551);00:43:58.44;Amzn
228;(9.738379750136186, 52.38507771634161);(9.72207223240536, 52.37293925198241);00:44:10.01;Amzn
229;(9.758029487264647, 52.38213552282315);(9.798875007956148, 52.39967076078605);00:44:21.59;M600
230;(9.779489935588957, 52.32808046801788);(9.742033833395277, 52.32231761321923);00:44:33.16;W178
231;(9.802015796837445, 52.37547262969682);(9.706885467790498, 52.427379769324794);00:44:44.73;Amzn
232;(9.740430659052244, 52.40459334101054);(9.78676918322024, 52.42633876423342);00:44:56.30;Amzn
233;(9.764719806154519, 52.399546042120626);(9.825879015118147, 52.42264005979894);00:45:07.87;M600
234;(9.768276642883261, 52.33166804707582);(9.689779987177186, 52.414102027436705);00:45:19.45;W178
235;(9.671878995682585, 52.41583594472172);(9.68689581584786, 52.36398208740815);00:45:31.02;M600
236;(9.694406336089196, 52.35694826026907);(9.747535412645638, 52.4162351869086);00:45:42.59;Amzn
237;(9.740591193412246, 52.30321907412676);(9.724674457395386, 52.35011354142956);00:45:54.16;M600
238;(9.718580292043598, 52.417326122089406);(9.78677538307506, 52.42820266177184);00:46:05.73;M600
239;(9.758257706576996, 52.38960122197517);(9.84131922705671, 52.335517788730556);00:46:17.31;M600
240;(9.709316699062567, 52.43492903704404);(9.7204032691721, 52.42698234256209);00:46:28.88;M600
241;(9.754276715329876, 52.33111891249262);(9.749662825323218, 52.309459589091205);00:46:40.45;Amzn
242;(9.78928372754858, 52.40448430970341);(9.706718660877554, 52.36852178517963);00:46:52.02;M600
243;(9.832163115790099, 52.408283361580565);(9.784760270924078, 52.37441294419228);00:47:03.59;Amzn
244;(9.748437692186187, 52.40078319073169);(9.734051428325877, 52.35141563585757);00:47:15.17;M600
245;(9.771024157868645, 52.36319390446595);(9.676189763972184, 52.36865625053916);00:47:26.74;Amzn
246;(9.727929436416147, 52.4097705431928);(9.677925289197375, 52.336874868180004);00:47:38.31;W178
247;(9.720819122862249, 52.4132199194613);(9.71991491023502, 52.314452800243686);00:47:49.88;M600
248;(9.788216470332484, 52.29959027560919);(9.684775021854858, 52.38112954890869);00:48:01.46;M600
249;(9.72543455229586, 52.35586397640332);(9.755180531322218, 52.341700280134084);00:48:13.03;M600
250;(9.700133386085513, 52.40338211887187);(9.84185406841849, 52.3420860454905);00:48:24.60;M600
251;(9.800600686476276, 52.42023848371574);(9.747852667181052, 52.41679328677951);00:48:36.17;Amzn
252;(9.730430094442259, 52.40374306951387);(9.708407828494817, 52.35835062544535);00:48:47.74;M600
253;(9.729164469833393, 52.334530668061234);(9.67756562320518, 52.43020293131296);00:48:59.32;M600
254;(9.78000578090552, 52.35421091633792);(9.660119778816544, 52.3052208877717);00:49:10.89;M600
255;(9.809371219305723, 52.356601147601836);(9.823628840017257, 52.377920453156975);00:49:22.46;Amzn
256;(9.696485108556413, 52.358672233247646);(9.809812072475857, 52.34653989005534);00:49:34.03;Amzn
257;(9.824229056719895, 52.327414302613676);(9.807582726627013, 52.31491697958343);00:49:45.60;Amzn
258;(9.70517462328707, 52.32981729414231);(9.677155572505898, 52.39169298043675);00:49:57.18;W178
259;(9.65059580402249, 52.376334883147045);(9.768410071759888, 52.38100062156944);00:50:08.75;M600
260;(9.7354438699285, 52.41883710196256);(9.82258080002042, 52.374031256609165);00:50:20.32;W178
261;(9.834958161986709, 52.32912517744527);(9.842143519102557, 52.29859192667734);00:50:31.89;M600
262;(9.688357250340419, 52.40829711063954);(9.789688066128296, 52.40272859201838);00:50:43.47;M600
263;(9.831827088576349, 52.43072161098481);(9.703520866170793, 52.43087798815667);00:50:55.04;Amzn
264;(9.69002472303655, 52.319958514269224);(9.655163145348816, 52.408387747834674);00:51:06.61;Amzn
265;(9.796309517554388, 52.311527208792654);(9.794042918379274, 52.383062449645784);00:51:18.18;M600
266;(9.763244128367525, 52.33045801972626);(9.699466668293468, 52.36750316176201);00:51:29.75;Amzn
267;(9.712599166810271, 52.41252470450303);(9.654714066273323, 52.390037129907654);00:51:41.33;Amzn
268;(9.779537502450824, 52.319529618953396);(9.765984456755167, 52.32009150676638);00:51:52.90;M600
269;(9.806756713165285, 52.42114406532624);(9.793058591114374, 52.323478072206804);00:52:04.47;M600
270;(9.741659938830745, 52.396317994336314);(9.797601043575677, 52.429811107469625);00:52:16.04;Amzn
271;(9.81218540130857, 52.32880802056198);(9.66288660022005, 52.30065490583086);00:52:27.61;M600
272;(9.773129529342068, 52.30459136486458);(9.646679222122344, 52.393173822244975);00:52:39.19;W178
273;(9.733557913723864, 52.37878874073741);(9.677404089937362, 52.4160230812042);00:52:50.76;M600
274;(9.696306497397744, 52.329709803653124);(9.785445385528313, 52.3389534073636);00:53:02.33;W178
275;(9.836708859091, 52.34963005720896);(9.709541897607759, 52.32801375459112);00:53:13.90;M600
276;(9.727814359470358, 52.34108001268969);(9.77902965183189, 52.346503584866554);00:53:25.48;M600
277;(9.665330943310646, 52.32258951409829);(9.648375590282935, 52.38479311819615);00:53:37.05;M600
278;(9.81337108184986, 52.35712924620361);(9.822303245069408, 52.34188190497018);00:53:48.62;W178
279;(9.752059693562424, 52.31768238378473);(9.651901401159614, 52.395803918107745);00:54:00.19;M600
280;(9.760866612058896, 52.33549773097466);(9.753177031222414, 52.326057908870226);00:54:11.76;Amzn
